ID,Category,Value1,Value2,Status
1,C,10.0,19.88,Inactive
2,D,28.0,34.4,Active
3,A,11.0,17.69,Inactive
4,C,62.0,13.77,Inactive
5,C,53.0,25.31,Inactive
6,D,99.0,34.95,Inactive
7,A,41.0,18.07,Active
8,A,79.0,46.9,Inactive
9,C,41.0,2.92,Active
10,B,77.0,21.48,Inactive
11,C,64.0,48.41,Inactive
12,C,84.0,27.85,Active
13,C,65.0,21.75,Inactive
14,C,26.0,28.86,Inactive
15,D,47.0,29.22,Inactive
16,A,33.0,36.85,Active
17,D,78.0,7.26,Inactive
18,D,79.0,13.25,Active
19,D,95.0,29.45,Inactive
20,C,20.0,43.49,Active
21,B,25.0,28.53,Active
22,A,82.0,12.69,Inactive
23,B,68.0,34.31,Inactive
24,D,79.0,37.26,Active
25,D,89.0,12.67,Active
26,B,12.0,19.51,Inactive
27,B,29.0,27.18,Active
28,B,68.0,25.33,Inactive
29,D,45.0,20.09,Inactive
30,D,28.0,15.58,Inactive
31,A,99.0,5.9,Inactive
32,A,76.0,3.62,Active
33,D,28.0,47.97,Inactive
34,B,29.0,42.51,Active
35,B,80.0,18.39,Inactive
36,A,61.0,47.88,Active
37,D,42.0,34.16,Inactive
38,A,49.0,24.64,Active
39,A,48.0,25.16,Active
40,C,91.0,5.08,Inactive
41,C,10.0,5.49,Inactive
42,C,20.0,30.52,Inactive
43,B,66.0,28.13,Inactive
44,D,98.0,11.42,Active
45,D,59.0,47.36,Inactive
46,D,32.0,39.28,Active
47,D,40.0,6.56,Active
48,C,51.0,46.62,Inactive
49,B,16.0,48.74,Active
50,B,25.0,49.8,Active
51,C,99.0,3.74,Active
52,B,69.0,37.11,Active
53,C,11.0,27.75,Inactive
54,D,10.0,35.59,Inactive
55,C,57.0,48.46,Inactive
56,D,21.0,34.71,Inactive
57,D,78.0,42.01,Active
58,A,46.0,43.48,Active
59,C,41.0,42.09,Inactive
60,A,18.0,21.88,Inactive
61,C,28.0,11.91,Inactive
62,C,57.0,20.44,Active
63,A,89.0,44.7,Inactive
64,A,12.0,8.18,Inactive
65,C,29.0,26.15,Inactive
66,B,33.0,12.43,Active
67,D,63.0,29.48,Active
68,A,42.0,43.29,Active
69,D,33.0,44.14,Active
70,B,84.0,12.6,Active
71,B,81.0,45.48,Active
72,B,45.0,30.0,Active
73,A,47.0,18.16,Active
74,B,93.0,35.7,Inactive
75,A,98.0,24.6,Inactive
76,B,34.0,19.52,Active
77,D,27.0,35.55,Active
78,D,91.0,13.19,Inactive
79,C,75.0,17.18,Active
80,D,63.0,22.29,Active
81,C,44.0,13.43,Active
82,D,89.0,20.85,Inactive
83,A,70.0,29.0,Inactive
84,D,50.0,37.31,Inactive
85,C,42.0,38.59,Inactive
86,C,77.0,41.32,Inactive
87,B,42.0,37.47,Active
88,A,23.0,34.37,Inactive
89,D,30.0,12.64,Active
90,B,57.0,20.61,Active
91,D,29.0,24.41,Inactive
92,D,17.0,5.06,Inactive
93,B,16.0,26.89,Active
94,B,76.0,22.38,Active
