,ID,Category,Value1,Value2,Status
0,1,C,10.0,19.88,Inactive
1,2,D,28.0,34.4,Active
2,3,A,11.0,17.69,Inactive
3,4,C,62.0,13.77,Inactive
4,5,C,53.0,25.31,Inactive
5,6,D,99.0,34.95,Inactive
6,7,A,41.0,18.07,Active
7,8,A,79.0,46.9,Inactive
8,9,C,41.0,2.92,Active
9,10,B,77.0,21.48,Inactive
10,11,C,64.0,48.41,Inactive
11,12,C,84.0,27.85,Active
12,13,C,65.0,21.75,Inactive
13,14,C,26.0,28.86,Inactive
14,15,D,47.0,29.22,Inactive
15,16,A,33.0,36.85,Active
16,17,D,78.0,7.26,Inactive
17,18,D,79.0,13.25,Active
18,19,D,95.0,29.45,Inactive
19,20,C,20.0,43.49,Active
20,21,B,25.0,28.53,Active
21,22,A,82.0,12.69,Inactive
22,23,B,68.0,34.31,Inactive
23,24,D,79.0,37.26,Active
24,25,D,89.0,12.67,Active
25,26,B,12.0,19.51,Inactive
26,27,B,29.0,27.18,Active
27,28,B,68.0,25.33,Inactive
28,29,D,45.0,20.09,Inactive
29,30,D,28.0,15.58,Inactive
30,31,A,99.0,5.9,Inactive
31,32,A,76.0,3.62,Active
32,33,D,28.0,47.97,Inactive
33,34,B,29.0,42.51,Active
34,35,B,80.0,18.39,Inactive
35,36,A,61.0,47.88,Active
36,37,D,42.0,34.16,Inactive
37,38,A,49.0,24.64,Active
38,39,A,48.0,25.16,Active
39,40,C,91.0,5.08,Inactive
40,41,C,10.0,5.49,Inactive
41,42,C,20.0,30.52,Inactive
42,43,B,66.0,28.13,Inactive
43,44,D,98.0,11.42,Active
44,45,D,59.0,47.36,Inactive
45,46,D,32.0,39.28,Active
46,47,D,40.0,6.56,Active
47,48,C,51.0,46.62,Inactive
48,49,B,16.0,48.74,Active
49,50,B,25.0,49.8,Active
50,51,C,99.0,3.74,Active
51,52,B,69.0,37.11,Active
52,53,C,11.0,27.75,Inactive
53,54,D,10.0,35.59,Inactive
54,55,C,57.0,48.46,Inactive
55,56,D,21.0,34.71,Inactive
56,57,D,78.0,42.01,Active
57,58,A,46.0,43.48,Active
58,59,C,41.0,42.09,Inactive
59,60,A,18.0,21.88,Inactive
60,61,C,28.0,11.91,Inactive
61,62,C,57.0,20.44,Active
62,63,A,89.0,44.7,Inactive
63,64,A,12.0,8.18,Inactive
64,65,C,29.0,26.15,Inactive
65,66,B,33.0,12.43,Active
66,67,D,63.0,29.48,Active
67,68,A,42.0,43.29,Active
68,69,D,33.0,44.14,Active
69,70,B,84.0,12.6,Active
70,71,B,81.0,45.48,Active
71,72,B,45.0,30.0,Active
72,73,A,47.0,18.16,Active
73,74,B,93.0,35.7,Inactive
74,75,A,98.0,24.6,Inactive
75,76,B,34.0,19.52,Active
76,77,D,27.0,35.55,Active
77,78,D,91.0,13.19,Inactive
78,79,C,75.0,17.18,Active
79,80,D,63.0,22.29,Active
80,81,C,44.0,13.43,Active
81,82,D,89.0,20.85,Inactive
82,83,A,70.0,29.0,Inactive
83,84,D,50.0,37.31,Inactive
84,85,C,42.0,38.59,Inactive
85,86,C,77.0,41.32,Inactive
86,87,B,42.0,37.47,Active
87,88,A,23.0,34.37,Inactive
88,89,D,30.0,12.64,Active
89,90,B,57.0,20.61,Active
90,91,D,29.0,24.41,Inactive
91,92,D,17.0,5.06,Inactive
92,93,B,16.0,26.89,Active
93,94,B,76.0,22.38,Active
94,95,,26.0,40.3,Active
95,96,B,42.0,48.92,Inactive
96,97,B,57.0,28.24,Inactive
97,98,D,85.0,16.81,Inactive
98,99,B,68.0,3.13,Inactive
99,100,A,95.0,46.31,Inactive
100,101,C,31.0,46.04,Active
101,102,B,39.0,13.4,Inactive
102,103,B,47.0,35.08,Active
103,104,D,60.0,4.7,Active
104,105,B,63.0,9.14,Active
105,106,B,17.0,11.62,Inactive
106,107,B,36.0,15.43,Inactive
107,108,D,36.0,49.8,Inactive
108,109,B,30.0,35.15,Active
109,110,C,39.0,19.83,Active
110,111,D,37.0,37.12,Active
111,112,C,73.0,45.85,Active
112,113,D,78.0,47.98,Active
113,114,B,70.0,3.84,Active
114,115,C,57.0,20.33,Inactive
115,116,D,28.0,6.23,Inactive
116,117,A,13.0,17.45,Inactive
117,118,B,44.0,9.31,Inactive
118,119,D,73.0,32.7,Active
119,120,A,58.0,20.03,Active
120,121,D,26.0,12.24,Inactive
121,122,A,53.0,14.03,Active
122,123,B,39.0,18.66,Inactive
123,124,C,55.0,13.74,Inactive
